"","date","conds","hour","direction_of_travel","month_of_data","day_of_data","day_of_week","traffic","rain","snow","tempi","visi","h.label","wind_speed"
"1","2015-01-01",8,1,1,1,1,5,998,0,0,21.9,10,1,5
"2","2015-01-01",8,1,5,1,1,5,916,0,0,21.9,10,1,5
"3","2015-01-01",8,2,1,1,1,5,746,0,0,21.9,10,1,5
"4","2015-01-01",8,2,5,1,1,5,1023,0,0,21.9,10,1,5
"5","2015-01-01",8,3,1,1,1,5,461,0,0,21.9,10,1,5
"6","2015-01-01",8,3,5,1,1,5,643,0,0,21.9,10,1,5
"7","2015-01-01",8,4,5,1,1,5,458,0,0,21.9,10,1,5
"8","2015-01-01",8,4,1,1,1,5,263,0,0,21.9,10,1,5
"9","2015-01-01",8,5,5,1,1,5,270,0,0,21.9,10,1,5
"10","2015-01-01",8,5,1,1,1,5,237,0,0,21.9,10,1,5
"11","2015-01-01",8,6,1,1,1,5,343,0,0,21.9,10,1,5
"12","2015-01-01",8,6,5,1,1,5,319,0,0,21.9,10,1,5
"13","2015-01-01",8,7,1,1,1,5,522,0,0,21.9,10,1,5
"14","2015-01-01",8,7,5,1,1,5,413,0,0,21.9,10,1,5
"15","2015-01-01",8,8,1,1,1,5,546,0,0,21.9,10,1,5
"16","2015-01-01",8,8,5,1,1,5,542,0,0,21.9,10,1,5
"17","2015-01-01",8,9,5,1,1,5,907,0,0,21.9,10,1,5
"18","2015-01-01",8,9,1,1,1,5,737,0,0,21.9,10,1,5
"19","2015-01-01",8,10,5,1,1,5,1357,0,0,21.9,10,1,5
"20","2015-01-01",8,10,1,1,1,5,1182,0,0,21.9,10,1,5
"21","2015-01-01",8,11,5,1,1,5,1855,0,0,21.9,10,1,5
"22","2015-01-01",8,11,1,1,1,5,1732,0,0,21.9,10,1,5
"23","2015-01-01",8,12,5,1,1,5,2438,0,0,21.9,10,1,5
"24","2015-01-01",8,12,1,1,1,5,2316,0,0,21.9,10,1,5
"25","2015-01-01",8,13,5,1,1,5,2488,0,0,21.9,10,1,5
"26","2015-01-01",8,13,1,1,1,5,2134,0,0,21.9,10,1,5
"27","2015-01-01",8,14,1,1,1,5,2123,0,0,21.9,10,1,5
"28","2015-01-01",8,14,5,1,1,5,2442,0,0,21.9,10,1,5
"29","2015-01-01",8,15,5,1,1,5,2418,0,0,21.9,10,1,5
"30","2015-01-01",8,15,1,1,1,5,2302,0,0,21.9,10,1,5
"31","2015-01-01",8,16,5,1,1,5,2667,0,0,21.9,10,1,5
"32","2015-01-01",8,16,1,1,1,5,2608,0,0,21.9,10,1,5
"33","2015-01-01",8,17,5,1,1,5,2464,0,0,21.9,10,1,5
"34","2015-01-01",8,17,1,1,1,5,2356,0,0,21.9,10,1,5
"35","2015-01-01",8,18,1,1,1,5,2227,0,0,21.9,10,1,4
"36","2015-01-01",8,18,5,1,1,5,2085,0,0,21.9,10,1,4
"37","2015-01-01",8,19,1,1,1,5,1961,0,0,21.9,10,1,4
"38","2015-01-01",8,19,5,1,1,5,1735,0,0,21.9,10,1,4
"39","2015-01-01",8,20,1,1,1,5,1551,0,0,21.9,10,1,4
"40","2015-01-01",8,20,5,1,1,5,1504,0,0,21.9,10,1,4
"41","2015-01-01",8,21,5,1,1,5,1251,0,0,21.9,10,1,5
"42","2015-01-01",8,21,1,1,1,5,1236,0,0,21.9,10,1,5
"43","2015-01-01",8,22,1,1,1,5,1062,0,0,21.9,10,1,4
"44","2015-01-01",8,22,5,1,1,5,1059,0,0,21.9,10,1,4
"45","2015-01-01",8,23,5,1,1,5,949,0,0,21.9,10,1,4
"46","2015-01-01",8,23,1,1,1,5,852,0,0,21.9,10,1,4
"47","2015-01-01",8,24,5,1,1,5,630,0,0,21.9,10,1,3
"48","2015-01-01",8,24,1,1,1,5,483,0,0,21.9,10,1,3
"49","2015-01-02",8,1,5,1,2,6,388,0,0,12.9,10,0,4
"50","2015-01-02",8,1,1,1,2,6,308,0,0,12.9,10,0,4
"51","2015-01-02",8,2,1,1,2,6,189,0,0,12.9,10,0,4
"52","2015-01-02",8,2,5,1,2,6,246,0,0,12.9,10,0,4
"53","2015-01-02",8,3,1,1,2,6,141,0,0,12.9,10,0,3
"54","2015-01-02",8,3,5,1,2,6,179,0,0,12.9,10,0,3
"55","2015-01-02",8,4,5,1,2,6,147,0,0,12.9,10,0,3
"56","2015-01-02",8,4,1,1,2,6,222,0,0,12.9,10,0,3
"57","2015-01-02",8,5,5,1,2,6,274,0,0,12.9,10,0,2
"58","2015-01-02",8,5,1,1,2,6,391,0,0,12.9,10,0,2
"59","2015-01-02",8,6,5,1,2,6,610,0,0,12.9,10,0,2
"60","2015-01-02",8,6,1,1,2,6,1343,0,0,12.9,10,0,2
"61","2015-01-02",8,7,1,1,2,6,2785,0,0,12.9,10,0,1
"62","2015-01-02",8,7,5,1,2,6,1265,0,0,12.9,10,0,1
"63","2015-01-02",8,8,5,1,2,6,2012,0,0,12.9,10,0,1
"64","2015-01-02",8,8,1,1,2,6,3404,0,0,12.9,10,0,1
"65","2015-01-02",8,9,5,1,2,6,2243,0,0,12.9,10,0,1
"66","2015-01-02",8,9,1,1,2,6,3114,0,0,12.9,10,0,1
"67","2015-01-02",8,10,1,1,2,6,2952,0,0,12.9,10,0,1
"68","2015-01-02",8,10,5,1,2,6,2594,0,0,12.9,10,0,1
"69","2015-01-02",8,11,5,1,2,6,3069,0,0,12.9,10,0,1
"70","2015-01-02",8,11,1,1,2,6,3046,0,0,12.9,10,0,1
"71","2015-01-02",8,12,1,1,2,6,3444,0,0,12.9,10,0,2
"72","2015-01-02",8,12,5,1,2,6,3521,0,0,12.9,10,0,2
"73","2015-01-02",8,13,1,1,2,6,3613,0,0,12.9,10,0,1
"74","2015-01-02",8,13,5,1,2,6,3810,0,0,12.9,10,0,1
"75","2015-01-02",8,14,1,1,2,6,3550,0,0,12.9,10,0,2
